soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,tone_block_key_resp.keys,starget,Run,PartID,frameRate,ttarget,expName,date,
du.wav,3,3,6,72,S,0,71,71,71,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
di.wav,2,1,6,73,S,0,72,72,72,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ba.wav,2,2,6,74,S,0,73,73,73,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pu.wav,2,3,6,75,S,0,74,74,74,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,8,76,S,0,75,75,75,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,8,77,S,0,76,76,76,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,8,78,S,0,77,77,77,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,7,79,S,0,78,78,78,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,7,80,S,0,79,79,79,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,7,81,S,0,80,80,80,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,7,82,S,0,81,81,81,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,7,83,S,0,82,82,82,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
